,deviceId,timestamp,voltage,current,activePower,apparentPower,reactivePower,powerFactor
153,8,Tue Jun 12 2018 07:02:24 GMT+0000 (UTC),212,0.03,6,6,0,1
154,8,Tue Jun 12 2018 07:13:44 GMT+0000 (UTC),212,0.03,6,6,0,1
155,8,Tue Jun 12 2018 07:17:44 GMT+0000 (UTC),212,0.03,6,6,0,1
156,8,Tue Jun 12 2018 07:20:24 GMT+0000 (UTC),212,0.03,6,6,0,1
157,8,Tue Jun 12 2018 07:28:14 GMT+0000 (UTC),212,0.03,6,6,0,1
158,8,Tue Jun 12 2018 07:32:34 GMT+0000 (UTC),212,0.03,6,6,0,1
159,8,Tue Jun 12 2018 07:45:54 GMT+0000 (UTC),212,0.03,6,6,0,1
160,8,Tue Jun 12 2018 08:05:39 GMT+0000 (UTC),212,0.03,6,6,0,1
161,8,Tue Jun 12 2018 08:13:55 GMT+0000 (UTC),212,0.03,6,6,0,1
162,8,Tue Jun 12 2018 08:14:25 GMT+0000 (UTC),212,0.03,6,6,0,1
163,8,Tue Jun 12 2018 08:26:40 GMT+0000 (UTC),212,0.03,6,6,0,1
164,8,Tue Jun 12 2018 08:32:40 GMT+0000 (UTC),212,0.03,6,6,0,1
165,8,Tue Jun 12 2018 08:36:10 GMT+0000 (UTC),212,0.03,6,6,0,1
166,8,Tue Jun 12 2018 08:43:15 GMT+0000 (UTC),212,0.03,6,6,0,1
167,8,Tue Jun 12 2018 08:48:15 GMT+0000 (UTC),212,0.03,6,6,0,1
168,8,Tue Jun 12 2018 08:50:05 GMT+0000 (UTC),212,0.03,6,6,0,1
169,8,Tue Jun 12 2018 08:52:25 GMT+0000 (UTC),212,0.03,6,6,0,1
170,8,Thu May 31 2018 22:09:57 GMT+0000 (UTC),212,0.03,6,6,0,1
171,8,Thu May 31 2018 23:04:37 GMT+0000 (UTC),212,0.03,6,6,0,1
172,8,Thu May 31 2018 23:14:27 GMT+0000 (UTC),212,0.03,6,6,0,1
173,8,Thu May 31 2018 23:49:28 GMT+0000 (UTC),212,0.03,6,6,0,1
174,8,Fri Jun 01 2018 00:43:48 GMT+0000 (UTC),212,0.03,6,6,0,1
175,8,Fri Jun 01 2018 02:39:45 GMT+0000 (UTC),212,0.03,6,6,0,1
176,8,Fri Jun 01 2018 02:42:45 GMT+0000 (UTC),212,0.03,6,6,0,1
177,8,Fri Jun 01 2018 03:15:10 GMT+0000 (UTC),212,0.03,6,6,0,1
178,8,Fri Jun 01 2018 04:09:21 GMT+0000 (UTC),212,0.03,6,6,0,1
179,8,Fri Jun 01 2018 04:28:31 GMT+0000 (UTC),212,0.03,6,6,0,1
180,8,Fri Jun 01 2018 05:15:07 GMT+0000 (UTC),212,0.03,6,6,0,1
181,8,Fri Jun 01 2018 06:09:33 GMT+0000 (UTC),212,0.03,6,6,0,1
182,8,Fri Jun 01 2018 06:22:18 GMT+0000 (UTC),212,0.03,6,6,0,1
183,8,Fri Jun 01 2018 06:24:23 GMT+0000 (UTC),212,0.03,6,6,0,1
184,8,Fri Jun 01 2018 07:02:08 GMT+0000 (UTC),212,0.03,6,6,0,1
185,8,Fri Jun 01 2018 07:14:18 GMT+0000 (UTC),212,0.03,6,6,0,1
186,8,Fri Jun 01 2018 07:28:09 GMT+0000 (UTC),212,0.03,6,6,0,1
187,8,Fri Jun 01 2018 07:38:24 GMT+0000 (UTC),212,0.03,6,6,0,1
188,8,Fri Jun 01 2018 08:03:29 GMT+0000 (UTC),212,0.03,6,6,0,1
189,8,Fri Jun 01 2018 08:34:44 GMT+0000 (UTC),212,0.03,6,6,0,1
190,8,Fri Jun 01 2018 08:40:19 GMT+0000 (UTC),212,0.03,6,6,0,1
191,8,Fri Jun 01 2018 09:10:00 GMT+0000 (UTC),212,0.03,6,6,0,1
192,8,Fri Jun 01 2018 09:12:25 GMT+0000 (UTC),212,0.03,6,6,0,1
193,8,Fri Jun 01 2018 09:13:05 GMT+0000 (UTC),212,0.03,6,6,0,1
194,8,Fri Jun 01 2018 09:44:45 GMT+0000 (UTC),212,0.03,6,6,0,1
195,8,Fri Jun 01 2018 09:52:35 GMT+0000 (UTC),212,0.03,6,6,0,1
196,8,Fri Jun 01 2018 10:01:35 GMT+0000 (UTC),212,0.03,6,6,0,1
197,8,Fri Jun 01 2018 10:17:46 GMT+0000 (UTC),212,0.03,6,6,0,1
198,8,Fri Jun 01 2018 10:50:11 GMT+0000 (UTC),212,0.03,6,6,0,1
199,8,Fri Jun 01 2018 11:16:16 GMT+0000 (UTC),212,0.03,6,6,0,1
200,8,Fri Jun 01 2018 11:19:36 GMT+0000 (UTC),212,0.03,6,6,0,1
201,8,Fri Jun 01 2018 11:28:27 GMT+0000 (UTC),212,0.03,6,6,0,1
202,8,Fri Jun 01 2018 11:43:12 GMT+0000 (UTC),212,0.03,6,6,0,1
203,8,Fri Jun 01 2018 11:46:07 GMT+0000 (UTC),212,0.03,6,6,0,1
204,8,Fri Jun 01 2018 11:56:47 GMT+0000 (UTC),212,0.03,6,6,0,1
205,8,Fri Jun 01 2018 12:05:57 GMT+0000 (UTC),212,0.03,6,6,0,1
206,8,Fri Jun 01 2018 12:22:02 GMT+0000 (UTC),212,0.03,6,6,0,1
207,8,Fri Jun 01 2018 12:32:17 GMT+0000 (UTC),212,0.03,6,6,0,1
208,8,Fri Jun 01 2018 12:39:17 GMT+0000 (UTC),212,0.03,6,6,0,1
209,8,Fri Jun 01 2018 12:46:08 GMT+0000 (UTC),212,0.03,6,6,0,1
210,8,Fri Jun 01 2018 12:56:23 GMT+0000 (UTC),212,0.03,6,6,0,1
211,8,Fri Jun 01 2018 13:22:43 GMT+0000 (UTC),212,0.03,6,6,0,1
212,8,Fri Jun 01 2018 13:36:43 GMT+0000 (UTC),212,0.03,6,6,0,1
213,8,Fri Jun 01 2018 13:44:58 GMT+0000 (UTC),212,0.03,6,6,0,1
214,8,Fri Jun 01 2018 14:04:38 GMT+0000 (UTC),212,0.03,6,6,0,1
215,8,Fri Jun 01 2018 15:10:39 GMT+0000 (UTC),212,0.03,6,6,0,1
216,8,Fri Jun 01 2018 15:41:10 GMT+0000 (UTC),212,0.03,6,6,0,1
217,8,Fri Jun 01 2018 15:47:00 GMT+0000 (UTC),212,0.03,6,6,0,1
218,8,Fri Jun 01 2018 16:02:50 GMT+0000 (UTC),212,0.03,6,6,0,1
219,8,Fri Jun 01 2018 16:28:30 GMT+0000 (UTC),212,0.03,6,6,0,1
220,8,Fri Jun 01 2018 16:45:30 GMT+0000 (UTC),212,0.03,6,6,0,1
221,8,Fri Jun 01 2018 17:16:31 GMT+0000 (UTC),212,0.03,6,6,0,1
222,8,Fri Jun 01 2018 17:19:56 GMT+0000 (UTC),212,0.03,6,6,0,1
223,8,Fri Jun 01 2018 17:46:51 GMT+0000 (UTC),212,0.03,6,6,0,1
224,8,Fri Jun 01 2018 17:48:16 GMT+0000 (UTC),212,0.03,6,6,0,1
